pH,EC (µS/cm),HCO3,Cl (mg/L),SO4,Total Hardness,Na (mg/L),F
7.81,2770,683,477,102,595,250,0.33
7.91,790,207,117,21,210,66,0.33
7.8,720,391,16,20,250,46,0.23
7.31,7540,946,2052,51,1350,1089,0.73
7.98,3840,268,730,67,375,486,0.66
7.65,2060,683,278,32,255,257,0.43
7.94,245,116,27,7,70,27,0.19
7.15,900,378,63,25,245,84,1.25
7.52,880,433,48,39,190,97,0.04
7.33,2240,793,308,115,545,278,0.94
6.9,2520,561,472,191,790,194,1.07
7.65,1360,561,112,82,135,236,0.63
7.35,930,427,72,57,334,87,1.72
7.52,1140,317,95,108,314,89,0.67
7.66,1160,439,99,71,457,79,0.95
7.81,1350,549,94,76,342,130,1.48
7.82,1100,354,96,109,251,107,0.4
7.98,1800,549,239,92,182,320,2.63
8.1,2700,1098,302,98,344,471,2.29
7.97,1120,391,110,71,230,150,1.05
7.6,2300,561,298,251,349,350,0.64
8.1,1650,366,204,151,403,176,0.58
8.01,1110,415,105,39,151,161,0.88
8.05,910,183,155,32,122,109,0.25
7.85,330,110,35,9,85,27,0.16
7.76,800,366,49,45,168,105,1.35
7.66,800,384,43,23,311,46,0.97
7.62,1050,403,50,155,490,33,1.38
7.65,1150,476,77,93,470,79,1.06
7.67,1160,317,123,91,257,129,0.57
7.58,840,409,41,74,383,42,0.96
8.21,830,183,105,72,53,113,0.14
7.84,1020,464,46,29,276,103,0.99
7.81,760,262,88,18,180,84,0.79
7.33,7040,366,700,488,1501,410,0.52
7.81,1250,513,63,29,266,141,1
7.83,620,293,32,22,264,33,0.71
7.05,510,238,42,2,97,67,1.02
7.53,1060,415,59,42,297,85,1.19
7.66,1840,610,158,65,455,162,0.87
7.67,2860,610,420,246,714,355,0.55
7.97,1170,305,144,65,81,187,0.38
7.76,570,189,55,33,203,32,0.22
7.88,1110,476,132,2,362,98,0.55
6.89,580,122,113,1,126,59,0.22
7.23,2460,415,444,197,505,342,0.68
7.2,1104,330,102,63,288,114,4.4
8.1,1310,513,84,17,42,250,6.86
7.3,752,342,25,25,198,63,0.63
7.19,1215,439,88,46,430,80,0.66
7.05,1094,452,53,38,441,55,0.73
6.9,1138,476,67,36,432,64,0.54
7.31,880,506,50,9,316,74,0.62
7.08,910,506,49,12,336,82,0.67
6.87,970,452,67,14,352,54,0.94
6.83,580,250,15,12,232,14,0.38
6.49,3680,659,765,184,832,509,0.55
7.4,2599,732,307,187,626,307,3.52
7.5,997,354,104,19,259,85,1.31
7.6,588,244,36,23,197,40,0.4
7.7,1630,452,44,26,166,221,2.37
7.02,770,336,41,26,281,40,0.37
6.9,800,330,66,36,311,47,1.48
6.91,1700,354,256,113,474,152,1.83
6.9,850,360,49,31,331,26,1.02
7.05,1035,281,115,92,330,78,0.71
6.97,1067,488,59,47,361,65,0.52
7.17,994,366,84,65,307,77,1.31
7.2,800,293,68,45,255,62,0.36
5.79,250,37,15,7,64,9,0.04
7,1420,598,40,43,299,138,0.46
7.59,1060,305,112,75,326,73,0.8
7.08,840,378,42,41,297,46,0.64
6.81,1270,439,56,40,231,121,0.72
7.4,880,330,45,42,365,33,0.68
7.5,1324,610,90,39,397,126,1.77
7,1102,391,52,40,356,36,0.28
7.4,1378,598,70,48,287,145,1.52
7.4,1898,146,450,33,483,178,0.53
6.8,4044,378,1025,164,1086,338,1.27
7.2,1770,415,256,56,615,107,0.54
7,2020,549,134,150,920,20,0.24
7.38,1460,525,121,96,340,178,1.77
7.05,1410,525,94,56,457,94,2.47
7.02,1160,378,131,69,424,59,0.72
7.4,1600,647,118,45,406,145,1.03
7.35,1201,549,57,40,354,113,2.19
7.5,1200,537,57,40,358,114,1.82
7.8,1080,268,127,85,60,218,0.98
7.26,1350,525,108,48,307,176,0.5
7.67,1310,659,46,31,333,129,1.45
7.9,970,366,61,45,263,82,0.66
7.9,2910,1196,269,146,460,500,1.24
8.13,1220,464,83,62,208,200,2.77
7.2,2120,537,366,31,751,136,1.89
7.71,1620,598,123,55,513,158,1.36
7.76,2120,537,377,35,770,144,1.92
7.51,2810,610,430,87,1038,157,0.89
7.73,920,372,44,31,291,76,1.92
7.6,1270,525,118,45,456,99,0.8
7.61,2190,732,222,159,678,245,1.18
8,730,256,61,60,237,54,0.45
7.63,610,159,64,56,147,67,0.44
7.28,1030,391,58,54,338,63,0.54
7.11,2090,513,365,66,565,212,0.96
7.68,1660,610,188,53,245,259,1.55
6.85,1350,354,135,108,435,127,0.61
7.62,1120,580,49,134,360,157,1.22
7.5,1310,549,154,63,620,95,0.91
8.2,120,31,11,7,15,17,0.14
6.8,1020,342,99,33,372,40,0.31
7,1550,476,169,51,603,61,0.7
7.3,1060,427,75,51,369,73,0.86
7,2660,427,468,157,782,200,0.33
7,1781,488,220,69,715,64,1.11
7.16,1025,281,121,55,347,64,0.63
7,1231,366,105,69,360,106,0.66
7.05,1520,476,186,47,529,103,0.49
7,996,391,97,12,299,68,0.94
6.8,2328,561,297,80,800,91,1.72
6.76,2342,549,290,79,785,88,1.64
6.69,1140,439,70,60,435,27,0.3
7.64,700,168,89,84,240,62,0.18
6.9,850,409,38,31,390,25,0.42
7.45,990,433,60,39,400,36,2.23
7.52,890,244,95,77,271,66,0.51
7.44,1090,464,76,59,387,85,0.46
7.31,1150,427,92,62,422,54,0.62
6.9,1941,488,329,108,315,342,1.03
7.3,885,268,56,34,352,25,0.43
7.9,1160,244,174,80,268,129,1.37
7.03,1260,537,85,50,422,102,1.55
7.49,1593,488,156,76,461,150,1.1
6.9,572,207,55,15,192,42,0.44
7.88,1470,622,93,96,360,163,2.05
7.4,1150,458,96,56,370,92,0.44
7.3,1100,567,70,15,395,70,1.4
7.27,1030,549,63,33,375,80,0.62
7.39,780,342,43,3,230,50,0.79
6.8,907,256,73,47,351,29,0.88
6.8,980,342,53,38,348,49,0.8
6.6,2057,330,320,111,725,93,0.22
7.16,860,452,30,39,316,55,1.35
7.86,475,122,96,1,83,62,0.28
7.28,1100,391,74,67,365,92,1.53
7.6,849,403,60,6,57,160,0.75
7.13,660,220,47,44,267,26,0.49
7.04,1060,366,99,65,349,61,0.96
7.15,1040,415,73,27,285,71,0.5
7.3,1320,366,124,69,452,92,1.77
6.94,600,281,34,19,214,35,0.93
6.9,3291,525,585,268,965,309,0.78
6.8,1947,488,117,80,572,81,0.59
7.1,1114,391,81,51,331,80,1.61
7.6,628,195,75,26,167,62,0.31
7,2085,464,324,117,782,91,0.83
7.1,2007,415,143,442,574,220,0.54
7.1,1080,244,125,80,356,64,0.49
6.82,1007,220,134,79,380,63,0.52
7.14,1083,488,76,28,391,79,1.21
7.07,1107,427,57,44,450,24,0.46
7.25,1363,549,105,50,507,83,1.26
7.14,1225,427,117,72,508,57,2.63
7.2,573,256,24,6,197,18,0.15
7,1140,439,87,22,389,41,0.35
6.95,919,378,51,34,303,63,0.6
6.8,6625,732,1685,289,1931,697,1.12
7.23,956,391,48,23,345,27,0.56
7.02,2128,488,237,120,534,161,0.84
7.06,972,391,34,19,255,80,1.18
6.7,6538,793,1444,252,1702,605,0.98
6.6,2815,403,446,138,1055,108,0.64
7.05,1443,537,97,48,453,92,1.2
7.2,843,268,51,36,205,55,0.96
7,1630,403,229,59,384,165,2.1
6.9,1625,537,125,83,405,143,1.04
6.9,1015,317,99,79,374,45,1.23
7.48,544,183,69,4,130,46,0.81
7.45,520,159,69,4,130,46,0.78
6.8,916,427,26,13,358,25,0.59
7.16,930,317,47,29,317,39,0.55
7.13,1040,391,64,71,375,56,1.27
7.6,823,232,66,38,172,82,0.65
7.7,1188,525,75,36,258,164,1.24
7.3,1529,476,125,113,450,117,0.96
7.8,558,195,61,35,137,71,0.51
7.3,1315,464,170,49,381,135,1.62
7.15,740,412,23,22,280,51,0.79
7.14,630,366,24,11,255,54,1.31
6.96,970,433,81,27,420,34,0.99
6.89,1010,488,66,20,420,39,0.31
6.88,1010,464,35,38,455,33,0.29
7,1150,488,69,45,330,124,1.01
6.7,1460,506,121,53,605,43,0.55
6.85,1610,366,239,150,605,96,0.4
7.17,1780,671,185,76,515,172,0.69
7.2,1660,439,202,151,555,139,0.78
7.03,2020,781,134,69,587,158,1.35
7.27,1150,476,91,41,401,88,2.38
7.7,750,372,34,26,333,32,1.33
7.62,1480,647,78,74,245,248,2.45
7.54,1270,586,89,56,369,172,1.81
6.89,1020,452,91,30,288,120,0.96
7,2426,366,409,174,700,227,0.72
7.3,1492,366,144,80,465,115,0.65
7.4,976,305,75,57,291,68,1.57
7.3,1588,561,121,72,523,138,1.14
7.6,900,244,101,64,264,75,0.65
7.3,1611,366,239,128,667,82,0.65
7.2,1603,281,264,97,592,89,0.41
7.2,1593,305,220,85,559,76,0.31
7.02,1700,500,218,87,542,142,1.68
6.95,1695,513,226,88,564,142,1.78
6.85,2135,464,379,140,524,260,0.75
7.29,1691,537,171,79,381,221,1.55
7.07,2408,366,482,190,854,145,0.51
7.18,970,402.6,63.3,33.6,192,81,0.5
6.9,98,7.62,13.2,1.58,42,12.3,0.4
7.98,98,38,14.4,4.4,37,16.7,0.08
7.84,168,47.2,11.7,15.1,59,13.5,0.06
7.88,75,36.1,5.5,2.2,33,0.17,0.06
7.6,402,159,21,40,150,24,0.37
7.5,296,67,43,5,100,14,0.55
7.2,335,146,14,9,155,5,1.15
7.2,180,55,18,8,65,8,0.222
7.6,180,24,14,16,60,8,0.2
7.4,1162,37,252,98,275,82,0.55
8.18,449,207,25,9,185,16,0.55
7.85,1033,329,117,46,405,49,0.6
8.21,361,159,18,16,155,11,0.93
7.68,526,299,11,4,185,34,0.14
7.83,763,439,11,6,190,86,0.28
8.13,505,250,28,12,150,46,1.58
7.85,1005,342,89,71,305,88,0.81
7.84,858,342,53,46,315,50,0.41
7.34,715,336,39,16,290,30,1.03
7.91,960,348,85,42,320,64,2.25
8.29,3620,627,783,202,1225,259,1
8.03,509,275,11,15,200,22,0.19
7.77,964,384,89,12,320,76,0.54
7.96,788,366,43,51,255,68,0.5
8.11,834,317,36,108,325,60,0.4
7.24,129,43,11,1,50,3,0.16
6.82,398,92,57,12,100,31,0.29
7.92,301,128,28,5,85,30,0.45
7.92,301,128,28,5,85,30,0.45
7.67,2110,494,128,358,565,187,0.09
7.88,1042,390,163,7,400,78,0.29
7.85,744,342,25,40,210,76,0.47
8.07,451,207,32,4,165,33,0.39
8.23,538,183,57,6,240,14,0.34
7.82,166,67,7,1,45,15,0.52
7.56,562,262,18,2,210,33,0.35
7.82,166,67,7,1,45,15,0.52
7.56,562,262,18,2,210,33,0.35
8.19,195,85,18,2,65,12,0.85
7.2,134,37,18,9,35,14,0.15
7.91,466,189,28,37,150,37,0.62
8.04,587,287,32,6,170,64,0.85
8.19,195,85,18,2,65,12,0.85
7.24,129,43,11,1,50,3,0.16
7.62,46,12,4,1,15,2,0.16
7.2,134,37,18,9,35,14,0.15
7.47,220,73,7,49,95,9,0.88
7.98,185,98,11,1,70,13,0.34
6.7,202,49,28,2,85,5,0.2
7.73,1172,525,114,23,450,66,0.91
7.73,1172,525,114,23,450,66,0.91
7.39,149,55,14,4,55,5,0.98
7.45,727,220,103,29,280,36,0.13
7.85,114,24,14,4,35,7,0.5
7.7,1123,323,181,39,400,60,1.12
7.73,1046,378,124,75,195,162,0.49
8.08,645,256,50,9,250,25,0.2
7.76,1231,555,99,52,420,93,1.62
7.84,253,110,14,30,95,15,0.39
7.57,595,256,46,6,190,45,0.54
8.01,363,183,25,2,120,34,0.46
7.04,136,49,14,1,50,7,0.09
7.46,277,116,25,2,100,15,0.22
7.93,797,464,21,14,310,59,0.5
7.64,3489,342,879,192,741,440,0.36
7.86,643,209,25,33,231,17,0.17
8.24,365,209,10,15,171,18,0.13
8.14,723,270,25,49,191,75,0.49
8.11,205,147,10,4,121,9,0.09
6.63,143,123,5,12,121,2,0.19
8.02,204,135,10,18,90,26,0.13
8.23,564,282,15,10,211,26,0.11
7.86,547,319,10,10,241,21,0.08
7.83,554,270,15,21,211,26,0.21
7.94,406,221,10,12,201,5,0.07
8.09,457,245,15,13,221,11,0.07
8.14,174,98,10,4,90,3,0.09
8.12,496,172,14,15,181,10,0.04
7.95,474,135,15,25,171,6,0.2
8.2,382,159,25,12,181,2,0.48
8.23,398,284,7,13,180,38,0.25
8.17,602,279,12,46,310,13,0.11
8.08,530,255,49,10,120,83,0.53
8.16,520,338,15,15,190,62,0.14
8.12,396,273,10,12,215,21,0.11
7.79,437,284,10,12,230,24,0.23
7.8,453,310,12,6,185,44,0.25
7.55,988,340,108,33,470,60,0.17
7.67,970,483,56,51,400,99,0.22
7.75,751,401,34,29,325,43,0.33
7.99,181,158,5,10,150,2,0.12
7.91,429,273,12,19,235,15,0.28
7.76,649,375,29,27,240,68,0.2
8.2,247,181,9,15,135,18,0.09
8.21,290,205,7,11,160,21,0.31
7.5,689,153,75,86,245,43,0.17
7.43,293,79,21,15,60,32,0.65
7.62,284,98,18,18,90,16,0.35
7.53,1050,342,89,72,290,96,0.28
7.85,300,134,18,23,115,18,0.28
7.56,395,128,36,24,140,26,null
7.9,606,140,110,33,195,48,0.19
7.6,258,55,39,15,90,16,0.12
7.35,332,79,60,13,95,31,0.33
7.34,557,177,71,26,165,50,0.3
8.01,643,214,57,63,225,43,0.18
7.91,453,171,46,15,190,16,0.53
7.83,207,122,11,2,102,8,0.1
7.42,224,43,29,40,77,11,0.01
8,360,153,27,22,154,16,0.12
4.98,185,37,29,6,48,18,0.06
7.55,330,130,31,4,121,18,0.04
6.67,247,12,39,8,59,19,0.02
7.17,269,32,38,27,70,28,0.02
6.85,97,15,3,22,29,5,0.02
4.53,259,null,44,27,50,26,0.15
6.24,161,5,31,7,33,14,0.04
7.48,222,95,14,5,79,13,0.18
7.54,60,24,3,1,12,5,0.11
6.31,106,2,18,1,12,12,0.05
7,115,12,10,15,24,8,null
6.56,92,30,14,2,30,6,null
5.92,70,12,11,3,20,5,0.1
6.83,747,12,185,21,107,87,0.02
7.26,246,35,56,10,68,18,0.03
7.2,145,15,17,12,26,12,0.02
7.6,235,55,37,13,50,20,0.01
7.11,150,15,16,14,35,13,0.1
7.34,467,12,99,22,83,51,null
7.77,960,249,125,17,319,83,0.89
7.6,680,314,40,45,267,57,0.49
7.8,1160,568,76,44,376,122,1.08
7.44,250,136,14,7,104,23,0.62
7.15,360,142,46,9,125,32,0.38
6.63,52,10,6,1,16,4,0.1
8.02,527,197,51,16,168,48,0.53
7.29,169,25,14,27,48,11,0.01
7.54,140,42,14,2,39,11,0.11
6.65,83,36,16,2,29,11,0.1
6.38,176,30,35,6,52,24,0.01
7.49,139,37,15,4,36,8,0.05
7.89,584,129,71,19,158,44,0.23
7.29,129,36,11,7,30,12,0.03
7.76,663,311,39,31,255,31,0.28
7.22,756,305,28,23,250,40,0.61
7.87,662,262,50,50,240,38,0.42
7.93,763,330,67,42,300,36,0.29
7.84,579,262,32,34,250,18,0.2
7.43,723,372,46,15,315,20,0.46
7.66,718,378,39,20,310,21,0.46
7.25,490,232,18,38,215,16,0.36
7.57,688,293,32,39,250,27,0.44
7.29,174,49,21,3,50,11,0.04
7.62,218,85,21,8,65,16,0.1
7.48,445,201,28,15,180,9,0.23
7.85,698,342,35,32,285,26,0.4
7.96,668,281,57,20,165,74,0.42
8.2,1060,336,106,34,190,142,0.61
7.11,1181,275,92,154,300,133,0.24
8.13,515,122,106,8,140,53,0.21
8.23,649,287,14,10,270,23,0.71
7.45,920,390,85,27,320,77,0.27
7.55,323,134,14,7,155,6,0.32
7.84,371,159,14,14,150,15,null
8.26,670,207,21,7,300,10,null
7.8,552,73,60,56,145,6,0.32
7.35,560,159,14,78,240,5,0.24
7.77,458,153,46,16,220,2,0.53
7.98,609,128,92,53,285,16,0.27
7.62,1275,189,131,215,470,90,0.17
7.69,399,140,18,40,185,6,0.17
8,201,79,18,1,55,15,0.95
8.11,124,37,14,4,40,8,0.41
8.2,1095,561,92,4,100,220,0.29
7.44,2920,732,411,221,420,462,1.45
7.73,1870,380,262,133,200,344,3.17
7.46,1310,439,82,174,370,135,1.34
7.54,2250,342,223,463,865,120,0.69
8.01,950,519,28,34,290,95,1.21
7.32,820,421,39,32,280,78,0.8
8.3,900,409,21,25,245,95,2.42
7.01,720,366,41,25,225,60,0.57
7.7,170,92,7,1,65,9,0.13
6.96,220,79,13,2,85,10,0.11
7.15,1620,488,128,73,189,272,1.82
7.38,1180,610,45,16,351,127,0.91
7.04,2470,488,551,80,726,227,0.7
7.04,1810,610,287,23,449,255,1.47
7.24,540,293,26,9,174,59,1.56
7.69,1840,854,124,46,345,324,3.51
7.5,1650,439,142,172,545,134,1.37
7.54,430,220,11,8,175,13,0.16
7.14,1270,378,129,42,440,91,0.34
7.61,1520,769,47,28,320,207,2.37
7.65,640,220,74,28,225,39,0.46
7.8,730,366,25,18,125,104,1.85
7.65,1150,561,51,31,355,102,1.77
7.8,736,281,45,12,248,30,0.27
7.25,1550,488,100,63,361,130,1.11
7.41,1160,330,175,25,365,95,0.58
7.7,874,439,36,17,309,53,0.24
6.8,842,281,41,61,275,47,0.31
7.13,3190,561,763,145,885,388,0.76
7.93,1940,866,126,65,130,399,2.04
7.7,1396,366,131,97,365,104,0.1
7.71,860,488,34,15,380,45,0.25
7.74,830,482,27,21,290,76,0.21
7.91,970,488,64,1,265,105,0.36
7.3,413,244,24,8,68,71,0.32
8.2,470,143,54,19,95,51,0.37
7.88,680,287,67,20,200,60,0.23
8,450,159,53,15,115,48,0.36
8.02,90,37,6,1,20,11,0.02
7.99,1450,317,278,38,90,296,0.31
7.1,1123,207,231,81,243,140,0.83
7.7,773,244,62,45,241,68,0.45
7.8,110,61,3,1,30,9,0.02
8.1,380,134,27,21,43,56,0.53
7.75,1090,391,112,109,308,144,0.68
8.01,780,299,27,31,193,53,0.4
7.7,730,183,103,21,290,19,0.32
7.93,620,366,20,8,250,43,0.93
7.89,1610,513,184,92,371,193,0.9
7.83,1580,561,166,61,421,180,1.21
7.91,1320,574,111,57,239,200,1.26
7.26,1840,531,203,82,535,201,0.81
7,1670,525,232,110,605,97,1.19
7.43,1360,458,133,87,430,142,0.98
7.54,950,275,76,18,155,92,0.23
7.06,1230,470,68,48,330,88,1.04
7.3,490,159,27,62,130,41,0.49
7.3,1450,549,161,87,500,129,1.35
7.69,870,336,88,47,125,149,1
7.34,2650,671,354,19,460,302,3.51
7.41,1120,171,55,18,175,44,0.33
7.7,840,406,44,10,275,69,1.11
7.67,540,232,29,15,175,38,0.3
6.52,510,195,20,9,153,27,0.23
6.91,830,299,62,34,262,54,0.45
6.81,1270,610,91,41,350,135,0.68
6.98,1040,281,60,55,326,68,0.53
6.7,810,433,39,18,351,25,1.1
7.77,980,549,20,5,262,84,0.72
7.92,770,397,27,23,295,43,0.4
7.55,740,427,20,11,235,60,0.22
7.68,270,79,16,17,96,11,0.09
7.62,1280,85,340,6,414,86,0.26
7.58,780,458,23,24,282,62,0.64
7.56,1470,439,165,54,558,83,0.88
7.9,600,195,73,2,114,61,0.17
7.57,1020,488,83,35,331,107,0.62
7.84,1810,720,218,37,328,265,0.47
7.61,1260,513,112,81,364,155,1.72
7.55,244,98,22,4,75,22,0.23
7.37,847,214,161,12,295,68,0.09
7.57,1256,458,107,47,400,102,0.5
8.01,465,220,22,10,155,39,0.12
7.65,1560,177,370,43,635,72,0.4
7.56,2723,433,625,52,910,185,0.45
7.86,1031,220,130,62,450,25,0.49
7.72,1190,409,77,102,451,52,1.14
7.78,1220,305,205,32,385,99,0.59
8.06,1128,500,80,42,480,54,1.17
8.12,1248,293,195,21,185,190,0.41
8.01,769,207,65,104,315,27,0.1
8.1,786,256,60,66,245,54,0.53
8.08,1798,311,337,70,490,189,0.46
8.01,2063,439,380,87,615,182,0.29
7.61,1212,317,205,58,430,88,0.49
7.94,895,305,71,75,320,42,1.21
7.3,876,292.8,85.2,56.5,335,44,0.38
7.95,513,262.3,21.3,7.3,175,33.6,0.86
7.77,295,140.3,14.2,8.2,125,10,0.81
7.84,584,201.3,39.1,52.4,215,32.1,0.55
7.19,388,164.7,21.3,24,140,24,0.44
7.44,493,176.9,39.1,38.2,200,21,0.39
7.14,230,67.1,28.4,11.4,90,8.7,0.52
7.2,328,103.7,39.1,9.7,90,32.3,0.48
7.41,662,140.3,99.4,55.7,215,53.1,0.13
7.55,694,292.8,42.6,38.1,255,42,0.48
7.63,725,201.3,95.9,43.2,310,21.7,0.64
7.8,593,195.2,42.6,58.7,220,33,0.43
7.5,612,207.4,49.7,58.9,205,43.9,0.55
7.42,224,48.8,28.4,16.5,75,15.2,0.62
7.53,605,128.1,88.8,53.4,180,53.7,0.89
7.73,873,207.4,159.8,24.8,215,97.1,0.31
7.78,469,219.6,21.3,15.3,140,43,0.79
7.47,903,256.2,110.1,69.9,350,45.7,0.35
7.71,756,329.4,53.3,28.7,280,37.2,0.43
7.5,246,103.7,14.2,9.2,95,12.6,0.15
7.78,743,372.1,17.8,27.4,205,68,0.92
7.41,690,215.3,55.4,59.2,190,56.2,0.22
7.48,476,209.1,21.9,16,180,32.8,0.77
7.82,660,203,28.8,74.3,160,44.4,0.04
7.64,518,227.6,32.4,38,120,64.3,1.13
8.11,729,221.4,74.6,61,310,45.1,0.44
7.33,499,227.6,21.2,38.6,155,45.9,0.61
7.49,829,270.6,67.4,66,255,60.5,0.25
7.55,745,378.2,39.1,4,305,24.6,0.28
7.71,1084,488,56.8,44.2,390,64.2,0.5
8.06,864,506.3,10.7,2.1,330,37.2,0.64
8.03,643,323.3,28.4,12.4,275,20.4,0.53
7.94,723,384.3,28.4,3.5,290,29.5,0.26
7.89,538,256.2,24.9,17.4,250,8.9,0.51
8.06,864,506.3,10.7,2.1,330,37.2,0.64
8.02,432,225.7,14.2,7.1,165,20.3,0.44
7.8,802,341.6,60.4,35.3,335,26.5,0.16
7.41,832,141.5,127.9,75.1,265,72,0.28
7.79,537,184.5,44.2,42.4,230,29.4,0.28
7.31,649,209.1,47.4,67.5,200,71.3,1.24
8.28,723,123,114.9,36.9,255,49.1,0.49
8.28,458,221.4,3.5,22.5,140,33.6,1.59
8.08,473,184.5,17.4,39.8,150,35.6,0.78
7.69,767,408.7,32,3.9,340,16.4,0.47
7.36,1482,338.3,181.5,125,560,74.3,0.81
7.7,476,213.5,35.5,11.8,175,21.9,0.58
7.79,548,195.2,46.2,34.6,220,21.1,0.57
7.47,355,183,10.7,7.1,110,26.3,0.43
7.91,368,201.3,7.1,6.1,100,38.3,0.47
8.29,1692,535.1,184.6,86.2,415,124.3,0.39
7.62,1749,418.1,235.9,109,512,131.9,0.55
7.78,764,215.3,71.2,77,275,61.3,0.28
8.28,1689,535.1,171.3,88.2,375,116.3,0.41
7.89,355,146.4,35.5,6.7,135,14.1,0.37
7.85,363,152.5,28.4,15.8,125,23.7,0.47
7.41,682,390.4,14.2,0.9,275,28.4,0.35
7.85,464,256.2,14.2,1.5,185,18.4,0.78
8.02,401,213.5,14.2,0.6,130,32,0.38
8.17,378,201.3,14.2,2.6,135,22.1,0.45
7.95,367,189.1,14.2,7.1,140,17.2,0.35
7.99,425,237.9,10.7,0.4,120,39.1,0.12
8.15,373,183,17.8,4.5,145,18.6,0.38
7.68,467,256.2,14.2,4.8,180,18.2,0.31
8.18,479,244,14.2,7.1,225,1.1,0.3
8.15,498,250.1,21.3,8.2,240,1.7,0.3
8.2,320,91.5,21.3,46.2,110,19.2,0.52
8.14,597,250.1,46.2,27.4,205,36.2,0.31
8.18,561,280.6,17.8,24.1,225,20.1,0.5
8.22,362,158.6,28.4,7.3,130,19.3,0.28
8.13,502,244,21.3,17.4,180,28.2,0.65
8.2,496,201.3,28.4,30.1,195,19.8,0.37
7.85,489,164.7,71,5.4,200,19.5,0.44
7.98,394,213.5,14.2,2,165,13.5,0.59
7.79,724,396.5,14.2,5,340,8.9,0.49
7.92,1079,481.9,81.7,26.3,400,56.3,0.33
7.04,232.9,109.9,10.6,5.5,80,13.3,0.14
7.44,210.8,97.7,7.1,15.9,75,14.5,0.25
7.367,229.3,103.8,10.6,1.7,40,20.4,0.27
7.145,175.3,85.5,10.6,5.4,60,13.1,0.23
7.02,114.4,42.7,7.1,23,50,11.8,0.21
7.375,274.2,116,14.2,10.7,100,13.5,0.16
7.876,426.8,201.5,31.9,10.7,105,45,0.36
7.361,244.4,97.7,17.7,21.7,80,23.5,0.37
7.745,322.1,164.8,10.6,4.4,120,18,0.55
6.578,236.6,30.5,21.3,1.7,30,21,0.29
6.905,204.8,79.4,10.6,15.2,85,7.8,0.3
7.358,209,73.3,14.2,21.9,70,12.6,0.34
6.296,86.03,30.5,10.6,14.5,25,17.2,0.12
7.14,109.3,54.9,7.1,24,40,14.3,0.16
7.182,232.5,128.2,14.2,8.6,110,11.2,0.42
6.73,309.5,61,35.5,22.5,65,31.9,0.09
6.82,321.8,48.8,31.9,26.9,65,24.2,0.09
6.629,58.43,30.5,7.1,22.7,45,3.5,0.18
6.916,197.5,42.7,28.4,9.5,60,13.6,0.15
6.749,413.1,85.5,60.3,12.9,115,31.4,0.25
6.904,114.6,42.7,10.6,32.3,30,18.6,0.11
6.32,189.3,30.5,17.7,16.1,25,15.3,0.11
6.988,438.6,116,31.9,23.5,90,34.7,0.29
6.59,109.7,18.3,10.6,41.6,75,6.9,0.1
7.618,115.9,85.5,10.6,8.3,65,12.2,0.32
6.96,194.1,54.9,14.2,21.2,65,8.3,0.13
7.262,497.2,97.7,53.2,1.2,85,33.2,0.14
7.006,249.8,42.7,17.7,33.6,30,37.3,0.15
7.254,612.7,85.5,63.8,11.8,100,36,0.18
6.924,192.5,91.6,14.2,11.8,105,5.8,0.43
7.494,255.6,79.4,28.4,8.3,75,21.2,0.23
6.999,223.1,103.8,21.3,11.7,90,8.8,0.68
7.575,418.6,268.6,10.6,5.8,180,32.2,0.24
7.379,228.8,134.3,7.1,5.4,105,13.9,0.54
7.013,89.99,24.4,7.1,15.2,40,2.7,0.21
7.432,469.7,122.1,35.5,8.6,125,15.3,0.2
7.408,243.4,128.2,7.1,9.2,100,12.4,0.15
7.254,102.9,54.9,10.6,1.2,35,9,0.21
6.59,74.9,30.5,7.1,3.2,30,3.6,0.12
7.53,416.1,128.2,28.4,18.5,110,26.5,0.3
7.036,205,73.3,60.3,6.1,35,62,0.16
6.141,471.5,18.3,53.2,4.4,45,39.1,0.13
7.675,369.8,225.9,28.4,11,170,32.5,0.3
7.762,393.8,262.5,35.5,23.4,135,83.2,0.65
7.039,167.9,61,10.6,27.9,40,19,0.2
7.426,180.8,103.8,7.1,3.6,70,11,0.25
6.855,470.6,183.1,28.4,27.7,175,28.9,0.22
6.867,133.3,61,10.6,9,55,6.9,0.26
7.054,270.4,109.9,28.4,15.5,135,10.3,0.26
7.001,401.2,67.2,39,17.4,80,28.8,0.24
7.041,146.7,73.3,7.1,3.3,65,8.3,0.09
6.68,476.1,24.4,39,36.2,65,28.8,0.45
7.615,184.3,103.8,10.6,15,90,18.2,0.26
7.18,164.4,91.6,7.1,3.3,65,5,0.14
7.331,76.12,48.8,10.6,32.5,75,10.1,0.12
7.041,278.3,158.7,17.7,12.2,120,20,0.26
7.562,509.5,170.9,28.4,8,165,15.8,0.24
7.516,166.6,103.8,10.6,11.8,75,18.2,0.27
8.268,239.1,30.5,14.2,7.6,50,11.5,null
7.004,250.3,146.5,10.6,13,85,21.3,0.33
7.708,237.1,140.4,17.7,17,95,27.4,0.35
6.968,317.5,122.1,14.2,22.5,130,14.2,0.87
7.198,117.1,79.4,10.6,6.6,60,12.2,0.01
7.849,279.6,122.1,24.8,4.2,100,21.5,0.06
7.65,189.6,164.8,21.3,6.5,135,21.8,0.39
7.996,279.8,140.4,14.2,12.3,110,13.6,0.11
7.214,49.93,48.8,10.6,1.9,40,9.8,0.32
